Day,Time,Hour,Downlink_traffic,Downlink_traffic (normalized),Uplink_traffic_volume_(bit),Uplink_traffic (normalized),Average_user_number,Average_user_number(normalized),Maximum_user_number,Maximum_user_number(normalized),User_Downlink_Average_Throughput_(kbps),User_Downlink_Average_Throughput_(kbps) (normalized),User_Uplink_Average_Throughput_(kbps),User_Uplink_Average_Throughput_(kbps) (normalized),Cell_Downlink_Average_Throughput_(kbps),Cell_Downlink_Average_Throughput_(kbps) (normalized),Cell_Uplink_Average_Throughput_(kbps),Cell_Uplink_Average_Throughput_(kbps) (normalized),Downlink_Resource_Block_Utilizing_Rate_(Percentage),Downlink_Resource_Block_Utilizing_Rate_(Percentage)(normalized),Uplink_Resource_Block_Utilizing_Rate_(Percentage),Uplink_Resource_Block_Utilizing_Rate_(Percentage) (normalized),Average_CPU_Load_by_user_plane,Average_CPU_Load_by_user_plane (normalized)
Tuesday,6,6:00,13679084320,0.265029049,921089080,0.145408708,24.375,0.445896045,50,0.451219512,3706.255434,0.075065511,552.5807393,0.088202256,10687.25219,0.442674349,774.1447872,0.114383187,31.62933333,0.33186248,15.57733333,0.487106709,11,0.636363636
Tuesday,7,7:00,15372120808,0.298005687,1278559432,0.204237321,26.534,0.5008786,44,0.37804878,3015.07747,0.047341007,590.2100813,0.10020203,9684.183449,0.391012841,837.7448132,0.133237473,41.07733333,0.435396911,16.29066667,0.519415424,11,0.636363636
Tuesday,8,8:00,19867165512,0.385559301,1120336824,0.178198751,25.305,0.469580054,40,0.329268293,4985.63656,0.126383996,633.4009711,0.113975348,11594.45343,0.489398349,845.1628026,0.135436542,40.67066667,0.430940518,15.10666667,0.465788997,11,0.636363636
Tuesday,9,9:00,14376739816,0.278617848,1096401864,0.174259794,23.58,0.425650037,41,0.341463415,4344.42502,0.100663744,636.0898351,0.114832811,10420.71381,0.428946701,874.7945377,0.144220897,32.3,0.339211876,14.97733333,0.459931155,11,0.636363636
Tuesday,10,10:00,21390354736,0.415227687,1428818488,0.228965334,28.152,0.542083684,45,0.390243902,3728.801583,0.075969881,512.9547694,0.07556577,11129.26315,0.465439441,813.3791904,0.126014262,42.29733333,0.44876609,17.68,0.582341929,11,0.636363636
Tuesday,11,11:00,18253681576,0.354132172,1930107464,0.311462064,26.491,0.499783533,46,0.402439024,3978.026451,0.085966779,668.9865692,0.125323384,10729.40008,0.444845111,989.0850366,0.17810242,40.16,0.425344457,17.80533333,0.5880186,11,0.636363636
Tuesday,12,12:00,17324491272,0.336033582,1111117880,0.176681597,24.096,0.438790842,38,0.304878049,4098.511089,0.090799654,430.5030801,0.049272416,10322.85184,0.423906471,706.0535476,0.094197477,39.476,0.41784895,16.764,0.540853916,11,0.636363636
Tuesday,13,13:00,14401884392,0.279107609,2100559000,0.339513138,24.606,0.451778847,41,0.341463415,3764.983321,0.077421201,588.4721002,0.099647798,8606.335222,0.335499931,995.3227541,0.179951597,40.98666667,0.434403355,24.50533333,0.891478954,12,0.727272727
Tuesday,14,14:00,11135176864,0.215479309,850214832,0.133744989,22.33,0.393816691,38,0.304878049,5045.988306,0.128804823,497.4982089,0.070636764,9205.569768,0.366362582,719.1558668,0.098081671,27.80533333,0.289957774,14.26933333,0.427864001,11,0.636363636
Tuesday,15,15:00,18662045520,0.362086206,1849175960,0.29814323,29.119,0.56670996,40,0.329268293,4234.675535,0.096261477,684.0704155,0.130133533,9799.842317,0.396969673,983.448347,0.176431418,46.48933333,0.494703467,19.992,0.687058397,12,0.727272727
Tuesday,16,16:00,14954809904,0.289877386,1198937680,0.191134032,29.133,0.567066493,47,0.414634146,3211.06403,0.055202412,320.9891198,0.014349064,8261.572787,0.317743474,590.6841848,0.059996124,49.79866667,0.530968279,19.76533333,0.676792077,12,0.727272727
Tuesday,17,17:00,10540815576,0.203902455,1254671992,0.200306184,25.877,0.484146994,47,0.414634146,3677.799069,0.07392407,477.9574816,0.064405342,7983.295131,0.303411213,714.9792214,0.096843501,30.236,0.316593855,16.904,0.547194879,12,0.727272727
Tuesday,18,18:00,12814695944,0.248192658,1092486584,0.173615459,28.214,0.543662617,46,0.402439024,3958.383878,0.085178877,313.5855718,0.011988117,8534.721084,0.331811556,531.3611934,0.042409769,32.69733333,0.343565991,18.92533333,0.638746301,13,0.818181818
Tuesday,19,19:00,9957426256,0.19253931,1088581576,0.172972815,28.907,0.561311025,55,0.512195122,2553.929212,0.028843446,557.1196018,0.089649672,7891.877315,0.298702879,792.5989662,0.119853945,31.552,0.331015035,17.524,0.575276285,13,0.818181818
Tuesday,20,20:00,12612921064,0.244262526,1290810056,0.206253396,31.755,0.63384012,46,0.402439024,5267.970166,0.137708951,458.8746654,0.058319946,9370.85045,0.374875109,751.7191662,0.107735091,23.68266667,0.244780176,17.8,0.58777704,13,0.818181818
